icd6-7,icd8,icd9,icd10,icd10 code,icd10 term,concept_id,concept_name,vocabulary_id,domain_id,standard_concept,
,,icd9_1623,icd10_C341,c34.1,malignant neoplasm of upper lobe, bronchus or lung,261236,Primary malignant neoplasm of upper lobe, bronchus or lung,SNOMED,Condition,S,
,,icd9_1624,icd10_C342,c34.2,malignant neoplasm of middle lobe, bronchus or lung,256646,Primary malignant neoplasm of middle lobe, bronchus or lung,SNOMED,Condition,S,
,,icd9_1625,icd10_C343,c34.3,malignant neoplasm of lower lobe, bronchus or lung,4157454,Primary malignant neoplasm of lower lobe, bronchus or lung,SNOMED,Condition,S,
,,,icd10_C348,c34.8,malignant neoplasm of overlapping sites of bronchus and lung,258375,Overlapping malignant neoplasm of bronchus and lung,SNOMED,Condition,S,
icd7_1621,icd8_1621,icd9_1629,icd10_C349,c34.9,malignant neoplasm of bronchus or lung, unspecified,4311499,Primary malignant neoplasm of respiratory tract,SNOMED,Condition,S,
icd7_1952,icd8_1942,icd9_1640,icd10_C37,c37,malignant neoplasm of thymus,438368,Primary malignant neoplasm of thymus,SNOMED,Condition,S,
,,icd9_163,icd10_C38,c38,malignant neoplasm of heart, mediastinum and pleura,80665,Malignant neoplasm of thorax,SNOMED,Condition,S,
,,icd9_164,icd10_C38,c38,malignant neoplasm of heart, mediastinum and pleura,80665,Malignant neoplasm of thorax,SNOMED,Condition,S,
,,icd9_1641,icd10_C380,c38.0,malignant neoplasm of heart,316644,Primary malignant neoplasm of heart,SNOMED,Condition,S,
,,icd9_1642,icd10_C381,c38.1,malignant neoplasm of anterior mediastinum,432844,Primary malignant neoplasm of anterior mediastinum,SNOMED,Condition,S,
,,icd9_1643,icd10_C382,c38.2,malignant neoplasm of posterior mediastinum,435487,Primary malignant neoplasm of posterior mediastinum,SNOMED,Condition,S,
icd7_164,icd8_1631,icd9_1649,icd10_C383,c38.3,malignant neoplasm of mediastinum, part unspecified,438693,Primary malignant neoplasm of mediastinum,SNOMED,Condition,S,
icd7_1622,icd8_1630,icd9_1630,icd10_C384,c38.4,malignant neoplasm of pleura,78093,Primary malignant neoplasm of pleura,SNOMED,Condition,S,
,,icd9_1631,icd10_C384,c38.4,malignant neoplasm of pleura,78093,Primary malignant neoplasm of pleura,SNOMED,Condition,S,
,,icd9_1639,icd10_C384,c38.4,malignant neoplasm of pleura,78093,Primary malignant neoplasm of pleura,SNOMED,Condition,S,
,,,icd10_C388,c38.8,malignant neoplasm of overlapping sites of heart, mediastinum and pleura,321234,Overlapping malignant neoplasm of heart, mediastinum and pleura,SNOMED,Condition,S,
,icd8_163,icd9_165,icd10_C39,c39,malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,4114221,Malignant tumor of unknown origin,SNOMED,Condition,S,
,,icd9_1650,icd10_C390,c39.0,malignant neoplasm of upper respiratory tract, part unspecified,252840,Primary malignant neoplasm of upper respiratory tract,SNOMED,Condition,S,
icd7_1628,,,icd10_C398,c39.8,overlapping lesion of respiratory tract,4247331,Primary malignant neoplasm of intrathoracic organs,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,icd8_1639,icd9_1659,icd10_C399,c39.9,malignant neoplasm of lower respiratory tract, part unspecified,4334322,Malignant neoplasm of lower respiratory tract,SNOMED,Condition,S,
,,,icd10_C40,c40,malignant neoplasm of bone and articular cartilage of limbs,444203,Primary malignant neoplasm of articular cartilage,SNOMED,Condition,S,
icd7_1964,icd8_1704,icd9_1704,icd10_C400,c40.0,malignant neoplasm of scapula and long bones of upper limb,76914,Primary malignant neoplasm of bone,SNOMED,Condition,S,
icd7_1965,icd8_1705,icd9_1705,icd10_C401,c40.1,malignant neoplasm of short bones of upper limb,435493,Primary malignant neoplasm of short bone of upper limb,SNOMED,Condition,S,
icd7_1967,icd8_1707,icd9_1707,icd10_C402,c40.2,malignant neoplasm of long bones of lower limb,436640,Primary malignant neoplasm of long bone of lower limb,SNOMED,Condition,S,
icd7_1968,icd8_1708,icd9_1708,icd10_C403,c40.3,malignant neoplasm of short bones of lower limb,434880,Primary malignant neoplasm of short bone of lower limb,SNOMED,Condition,S,
,,,icd10_C408,c40.8,malignant neoplasm of overlapping sites of bone and articular cartilage of limb,4033318,Overlapping malignant neoplasm of bone and articular cartilage of limbs,SNOMED,Condition,S,
,,,icd10_C409,c40.9,malignant neoplasm of bones and articular cartilage of limb, unspecified,444203,Primary malignant neoplasm of articular cartilage,SNOMED,Condition,S,
icd7_196,icd8_170,icd9_170,icd10_C41,c41,malignant neoplasm of bone and articular cartilage of other and unspecified sites,444203,Primary malignant neoplasm of articular cartilage,SNOMED,Condition,S,
icd7_1960,icd8_1700,icd9_1700,icd10_C410,c41.0,malignant neoplasm of bones of skull and face,4246802,Primary malignant neoplasm of bone of skull,SNOMED,Condition,S,
icd7_1961,icd8_1701,icd9_1701,icd10_C411,c41.1,malignant neoplasm of mandible,379756,Primary malignant neoplasm of mandible,SNOMED,Condition,S,
icd7_1962,icd8_1702,icd9_1702,icd10_C412,c41.2,malignant neoplasm of vertebral column,75488,Primary malignant neoplasm of vertebral column,SNOMED,Condition,S,
icd7_1963,icd8_1703,icd9_1703,icd10_C413,c41.3,malignant of ribs, sternum and clavicle,438977,Primary malignant neoplasm of ribs and/or sternum and/or clavicle,SNOMED,Condition,S,
icd7_1966,icd8_1706,icd9_1706,icd10_C414,c41.4,malignant neoplasm of pelvic bones, sacrum and coccyx,4246141,Primary malignant neoplasm of pelvic bone,SNOMED,Condition,S,
,,,icd10_C418,c41.8,overlapping lesion of bone and articular cartilage,4032866,Overlapping malignant neoplasm of bone and articular cartilage,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
icd7_1969,icd8_1709,icd9_1709,icd10_C419,c41.9,malignant neoplasm of bone and articular cartilage, unspecified,76914,Primary malignant neoplasm of bone,SNOMED,Condition,S,
icd7_190,icd8_172,icd9_172,icd10_C43,c43,malignant melanoma of skin,139750,Primary malignant neoplasm of skin,SNOMED,Condition,S,
icd7_1900,icd8_1720,icd9_1720,icd10_C430,c43.0,malignant melanoma of lip,4089860,Malignant melanoma of lip,SNOMED,Condition,S,
icd7_1901,icd8_1721,icd9_1721,icd10_C431,c43.1,malignant melanoma of eyelid, including canthus,434590,Malignant melanoma of skin of eyelid,SNOMED,Condition,S,
icd7_1902,icd8_1722,icd9_1722,icd10_C432,c43.2,malignant melanoma of ear and external auricular canal,4095589,Malignant melanoma of ear and/or external auditory canal,SNOMED,Condition,S,
icd7_1903,icd8_1723,icd9_1723,icd10_C433,c43.3,malignant melanoma of other and unspecified parts of face,133713,Malignant melanoma of skin of face,SNOMED,Condition,S,
icd7_1904,icd8_1724,icd9_1724,icd10_C434,c43.4,malignant melanoma of scalp and neck,4095592,Malignant melanoma of scalp and/or neck,SNOMED,Condition,S,
icd7_1905,icd8_1726,icd9_1725,icd10_C435,c43.5,malignant melanoma of trunk,4153890,Malignant melanoma of trunk,SNOMED,Condition,S,
icd7_1906,icd8_1727,icd9_1726,icd10_C436,c43.6,malignant melanoma of upper limb, including shoulder,440658,Primary malignant neoplasm of skin of upper limb,SNOMED,Condition,S,
icd7_1907,icd8_1728,icd9_1727,icd10_C437,c43.7,malignant melanoma of lower limb, including hip,4151263,Malignant melanoma of lower limb,SNOMED,Condition,S,
icd7_1908,,,icd10_C438,c43.8,overlapping malignant melanoma of skin,133419,Overlapping malignant melanoma of skin,SNOMED,Condition,S,
icd7_1909,icd8_1729,icd9_1729,icd10_C439,c43.9,malignant melanoma of skin, unspecified,139750,Primary malignant neoplasm of skin,SNOMED,Condition,S,
icd7_191,icd8_173,icd9_173,icd10_C44,c44,other malignant neoplasms of skin,139750,Primary malignant neoplasm of skin,SNOMED,Condition,S,
icd7_1910,icd8_1730,icd9_1730,icd10_C440,c44.0,malignant neoplasm of skin of lip,136915,Primary malignant neoplasm of skin of lip,SNOMED,Condition,S,
icd7_1911,icd8_1731,icd9_1731,icd10_C441,c44.1,malignant neoplasm of skin of eyelid, including canthus,435755,Primary malignant neoplasm of skin of eyelid,SNOMED,Condition,S,
icd7_1912,icd8_1732,icd9_1732,icd10_C442,c44.2,malignant neoplasm of skin of ear and external auricular canal,4095598,Malignant neoplasm of skin of ear and external auditory canal,SNOMED,Condition,S,
icd7_1913,icd8_1733,icd9_1733,icd10_C443,c44.3,malignant neoplasm of skin of other and unspecified parts of face,136917,Primary malignant neoplasm of skin of face,SNOMED,Condition,S,
icd7_1914,icd8_1734,icd9_1734,icd10_C444,c44.4,malignant neoplasm of skin of scalp and neck,4157456,Primary malignant neoplasm of skin head and neck,SNOMED,Condition,S,
icd7_1915,icd8_1736,icd9_1735,icd10_C445,c44.5,malignant neoplasm of skin of trunk,133147,Primary malignant neoplasm of skin of trunk,SNOMED,Condition,S,
icd7_1916,icd8_1737,icd9_1736,icd10_C446,c44.6,malignant neoplasm of skin of upper limb, including shoulder,81239,Primary malignant neoplasm of upper limb,SNOMED,Condition,S,
icd7_1917,icd8_1738,icd9_1737,icd10_C447,c44.7,malignant neoplasm of skin of lower limb, including hip,4162993,Malignant neoplasm of skin of lower limb,SNOMED,Condition,S,
icd7_1918,,,icd10_C448,c44.8,malignant neoplasm of overlapping sites of skin,133974,Overlapping malignant neoplasm of skin,SNOMED,Condition,S,
icd7_1919,icd8_1739,icd9_1739,icd10_C449,c44.9,malignant neoplasm of skin, unspecified,139750,Primary malignant neoplasm of skin,SNOMED,Condition,S,
,,,icd10_C45,c45,mesothelioma,4033891,Mesothelioma (malignant, clinical disorder),SNOMED,Condition,S,
,,,icd10_C450,c45.0,mesothelioma of pleura,4111917,Malignant mesothelioma of pleura,SNOMED,Condition,S,
,,,icd10_C451,c45.1,mesothelioma of peritoneum,4001666,Mesothelioma of peritoneum,SNOMED,Condition,S,
,,,icd10_C452,c45.2,mesothelioma of pericardium,4032870,Malignant mesothelioma of pericardium,SNOMED,Condition,S,
,,,icd10_C457,c45.7,mesothelioma of other sites,4033891,Mesothelioma (malignant, clinical disorder),SNOMED,Condition,S,
,,,icd10_C459,c45.9,mesothelioma, unspecified,4033891,Mesothelioma (malignant, clinical disorder),SNOMED,Condition,S,
,,icd9_176,icd10_C46,c46,kaposi's sarcoma,434584,Kaposi's sarcoma (clinical),SNOMED,Condition,S,
,,icd9_1760,icd10_C460,c46.0,kaposi's sarcoma of skin,258981,Kaposi's sarcoma of skin,SNOMED,Condition,S,
,,icd9_1761,icd10_C461,c46.1,kaposi's sarcoma of soft tissue,375479,Kaposi's sarcoma of soft tissue,SNOMED,Condition,S,
,,icd9_1762,icd10_C462,c46.2,kaposi's sarcoma of palate,140958,Kaposi's sarcoma of palate,SNOMED,Condition,S,
,,icd9_1765,icd10_C463,c46.3,kaposi's sarcoma of lymph nodes,312846,Kaposi's sarcoma of lymph nodes,SNOMED,Condition,S,
,,icd9_1763,icd10_C467,c46.7,kaposi's sarcoma of other sites,434584,Kaposi's sarcoma (clinical),SNOMED,Condition,S,
,,icd9_1764,icd10_C467,c46.7,kaposi's sarcoma of other sites,434584,Kaposi's sarcoma (clinical),SNOMED,Condition,S,
,,icd9_1768,icd10_C467,c46.7,kaposi's sarcoma of other sites,434584,Kaposi's sarcoma (clinical),SNOMED,Condition,S,
,,,icd10_C468,c46.8,kaposi's sarcoma of multiple organs,4033893,Kaposi's sarcoma of multiple organs,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,icd9_1769,icd10_C469,c46.9,kaposi's sarcoma, unspecified,434584,Kaposi's sarcoma (clinical),SNOMED,Condition,S,
,,,icd10_C47,c47,malignant neoplasm of peripheral nerves and autonomic nervous system,4094260,Malignant neoplasm of peripheral nerves and autonomic nervous system,SNOMED,Condition,S,
,,,icd10_C470,c47.0,malignant neoplasm of peripheral nerves of head, face and neck,4095892,Malignant neoplasm of peripheral nerves of head, face and neck,SNOMED,Condition,S,
,,,icd10_C471,c47.1,malignant neoplasm of peripheral nerves of upper limb, including shoulder,4003175,Primary malignant neoplasm of peripheral nerves of upper limb,SNOMED,Condition,S,
,,,icd10_C472,c47.2,malignant neoplasm of peripheral nerves of lower limb, including hip,4097283,Malignant neoplasm of peripheral nerves of lower limb, including hip,SNOMED,Condition,S,
,,,icd10_C473,c47.3,malignant neoplasm of peripheral nerves of thorax,4094262,Malignant neoplasm of peripheral nerve of thorax,SNOMED,Condition,S,
,,,icd10_C474,c47.4,malignant neoplasm of peripheral nerves of abdomen,4091621,Malignant neoplasm of peripheral nerve of abdomen,SNOMED,Condition,S,
,,,icd10_C475,c47.5,malignant neoplasm of peripheral nerves of pelvis,4097284,Malignant neoplasm of peripheral nerve of pelvis,SNOMED,Condition,S,
,,,icd10_C476,c47.6,malignant neoplasm of peripheral nerves of trunk, unspecified,4003179,Primary malignant neoplasm of peripheral nerves of trunk,SNOMED,Condition,S,
,,,icd10_C478,c47.8,malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,4002343,Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system,SNOMED,Condition,S,
icd7_1933,,,icd10_C479,c47.9,malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified,4094260,Malignant neoplasm of peripheral nerves and autonomic nervous system,SNOMED,Condition,S,
,icd8_1924,,icd10_C479,c47.9,malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified,4094260,Malignant neoplasm of peripheral nerves and autonomic nervous system,SNOMED,Condition,S,
icd7_1934,icd8_1925,,icd10_C479,c47.9,malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified,4094260,Malignant neoplasm of peripheral nerves and autonomic nervous system,SNOMED,Condition,S,
icd7_158,icd8_158,icd9_158,icd10_C48,c48,malignant neoplasm of retroperitoneum and peritoneum,4089665,Malignant tumor of peritoneum and retroperitoneum,SNOMED,Condition,S,
,icd8_1580,icd9_1580,icd10_C480,c48.0,malignant neoplasm of retroperitoneum,198091,Primary malignant neoplasm of retroperitoneum,SNOMED,Condition,S,
,,icd9_1588,icd10_C481,c48.1,malignant neoplasm of specified parts of peritoneum,197799,Primary malignant neoplasm of the peritoneum,SNOMED,Condition,S,
,,icd9_1589,icd10_C482,c48.2,malignant neoplasm of peritoneum, unspecified,198091,Primary malignant neoplasm of retroperitoneum,SNOMED,Condition,S,
,,,icd10_C488,c48.8,malignant neoplasm of overlapping sites of retroperitoneum and peritoneum,198092,Overlapping malignant neoplasm of retroperitoneum and peritoneum,SNOMED,Condition,S,
icd7_197,icd8_171,icd9_171,icd10_C49,c49,malignant neoplasm of other connective and soft tissue,439392,Primary malignant neoplasm,SNOMED,Condition,S,
icd7_1970,icd8_1710,icd9_1710,icd10_C490,c49.0,malignant neoplasm of connective and soft tissue of head, face and neck,439392,Primary malignant neoplasm,SNOMED,Condition,S,
icd7_1972,icd8_1712,icd9_1712,icd10_C491,c49.1,malignant neoplasm of connective and soft tissue of upper limb, including shoulder,4092235,Malignant neoplasm of connective and soft tissue of upper limb and shoulder,SNOMED,Condition,S,
icd7_1973,icd8_1713,icd9_1713,icd10_C492,c49.2,malignant neoplasm of connective and soft tissue of lower limb, including hip,4089777,Malignant neoplasm of connective and soft tissue of hip and lower limb,SNOMED,Condition,S,
,,icd9_1714,icd10_C493,c49.3,malignant neoplasm of connective and soft tissue of thorax,4312698,Primary malignant neoplasm of trunk,SNOMED,Condition,S,
,,icd9_1715,icd10_C494,c49.4,malignant neoplasm of connective and soft tissue of abdomen,4312698,Primary malignant neoplasm of trunk,SNOMED,Condition,S,
,,icd9_1716,icd10_C495,c49.5,malignant neoplasm of connective and soft tissue of pelvis,201231,Malignant neoplasm of connective and soft tissue of pelvis,SNOMED,Condition,S,
icd7_1971,icd8_1711,icd9_1717,icd10_C496,c49.6,malignant neoplasm of connective and soft tissue of trunk, unspecified,4312698,Primary malignant neoplasm of trunk,SNOMED,Condition,S,
icd7_1978,,,icd10_C498,c49.8,malignant neoplasm of overlapping sites of connective and soft tissue,378081,Overlapping malignant neoplasm of soft tissues,SNOMED,Condition,S,
icd7_1979,icd8_1719,icd9_1719,icd10_C499,c49.9,malignant neoplasm of connective and soft tissue, unspecified,376647,Primary malignant neoplasm of soft tissues,SNOMED,Condition,S,
,,icd9_174,icd10_C50,c50,malignant neoplasm of breast,4162253,Primary malignant neoplasm of breast,SNOMED,Condition,S,
icd7_170,icd8_174,icd9_175,icd10_C50,c50,malignant neoplasm of breast,4162253,Primary malignant neoplasm of breast,SNOMED,Condition,S,
,,icd9_1740,icd10_C500,c50.0,malignant neoplasm of nipple and areola,4162253,Primary malignant neoplasm of breast,SNOMED,Condition,S,
,,icd9_1750,icd10_C500,c50.0,malignant neoplasm of nipple and areola,4162253,Primary malignant neoplasm of breast,SNOMED,Condition,S,
,,icd9_1741,icd10_C501,c50.1,malignant neoplasm of central portion of breast,4162253,Primary malignant neoplasm of breast,SNOMED,Condition,S,
,,icd9_1742,icd10_C502,c50.2,malignant neoplasm of upper-inner quadrant of breast,4158563,Primary malignant neoplasm of breast upper inner quadrant,SNOMED,Condition,S,
,,icd9_1743,icd10_C503,c50.3,malignant neoplasm of lower-inner quadrant of breast,4187851,Primary malignant neoplasm of breast lower inner quadrant,SNOMED,Condition,S,
,,icd9_1744,icd10_C504,c50.4,malignant neoplasm of upper-outer quadrant of breast,4187850,Primary malignant neoplasm of breast upper outer quadrant,SNOMED,Condition,S,
,,icd9_1745,icd10_C505,c50.5,malignant neoplasm of lower-outer quadrant of breast,4188545,Primary malignant neoplasm of breast lower outer quadrant,SNOMED,Condition,S,
,,icd9_1746,icd10_C506,c50.6,malignant neoplasm of axillary tail of breast,441513,Primary malignant neoplasm of axillary tail of breast,SNOMED,Condition,S,
,,,icd10_C508,c50.8,malignant neoplasm of overlapping sites of breast,4092513,Malignant neoplasm, overlapping lesion of breast,SNOMED,Condition,S,
,,icd9_1749,icd10_C509,c50.9,malignant neoplasm of breast of unspecified site,4162253,Primary malignant neoplasm of breast,SNOMED,Condition,S,
,,icd9_1759,icd10_C509,c50.9,malignant neoplasm of breast of unspecified site,4162253,Primary malignant neoplasm of breast,SNOMED,Condition,S,
icd7_1760,,,icd10_C51,c51,malignant neoplasm of vulva,195197,Primary malignant neoplasm of vulva,SNOMED,Condition,S,
,,icd9_1841,icd10_C510,c51.0,malignant neoplasm of labium majus,437501,Primary malignant neoplasm of labia majora,SNOMED,Condition,S,
,,icd9_1842,icd10_C511,c51.1,malignant neoplasm of labium minus,441802,Primary malignant neoplasm of labia minora,SNOMED,Condition,S,
,,icd9_1843,icd10_C512,c51.2,malignant neoplasm of clitoris,197225,Primary malignant neoplasm of clitoris,SNOMED,Condition,S,
,,,icd10_C518,c51.8,malignant neoplasm of overlapping sites of vulva,4003029,Overlapping malignant neoplasm of vulva,SNOMED,Condition,S,
,,,icd10_C519,c51.9,malignant neoplasm of vulva, unspecified,195197,Primary malignant neoplasm of vulva,SNOMED,Condition,S,
icd7_1761,icd8_1840,icd9_1840,icd10_C52,c52,malignant neoplasm of vagina,196048,Primary malignant neoplasm of vagina,SNOMED,Condition,S,
icd7_171,icd8_180,icd9_180,icd10_C53,c53,malignant neoplasm of cervix uteri,196359,Primary malignant neoplasm of uterine cervix,SNOMED,Condition,S,
,,icd9_1800,icd10_C530,c53.0,malignant neoplasm of endocervix,441805,Primary malignant neoplasm of endocervix,SNOMED,Condition,S,
,,icd9_1801,icd10_C531,c53.1,malignant neoplasm of exocervix,436358,Primary malignant neoplasm of exocervix,SNOMED,Condition,S,
,,,icd10_C538,c53.8,malignant neoplasm of overlapping sites of cervix uteri,4092515,Malignant neoplasm, overlapping lesion of cervix uteri,SNOMED,Condition,S,
,,icd9_1809,icd10_C539,c53.9,malignant neoplasm of cervix uteri, unspecified,196359,Primary malignant neoplasm of uterine cervix,SNOMED,Condition,S,
icd7_172,icd8_1820,icd9_182,icd10_C54,c54,malignant neoplasm of corpus uteri,4162860,Primary malignant neoplasm of body of uterus,SNOMED,Condition,S,
,,icd9_1821,icd10_C540,c54.0,malignant neoplasm of isthmus uteri,192847,Primary malignant neoplasm of isthmus of uterus,SNOMED,Condition,S,
,,,icd10_C541,c54.1,malignant neoplasm of endometrium,4247238,Primary malignant neoplasm of endometrium,SNOMED,Condition,S,
,,,icd10_C542,c54.2,malignant neoplasm of myometrium,4247842,Primary malignant neoplasm of myometrium,SNOMED,Condition,S,
,,,icd10_C543,c54.3,malignant neoplasm of fundus uteri,4095748,Malignant neoplasm of fundus of corpus uteri,SNOMED,Condition,S,
,,,icd10_C548,c54.8,malignant neoplasm of overlapping sites of corpus uteri,198082,Overlapping malignant neoplasm of body of uterus,SNOMED,Condition,S,
,,icd9_1820,icd10_C549,c54.9,malignant neoplasm of corpus uteri, unspecified,4162860,Primary malignant neoplasm of body of uterus,SNOMED,Condition,S,
icd7_174,icd8_182,icd9_179,icd10_C55,c55,malignant neoplasm of uterus, part unspecified,45770892,Primary malignant neoplasm of uterus,SNOMED,Condition,S,
,icd8_1829,,icd10_C55,c55,malignant neoplasm of uterus, part unspecified,45770892,Primary malignant neoplasm of uterus,SNOMED,Condition,S,
icd7_1750,icd8_1830,icd9_1830,icd10_C56,c56,malignant neoplasm of ovary,200051,Primary malignant neoplasm of ovary,SNOMED,Condition,S,
,icd8_183,icd9_183,icd10_C57,c57,malignant neoplasm of other and unspecified female genital organs,201238,Primary malignant neoplasm of female genital organ,SNOMED,Condition,S,
icd7_176,icd8_184,icd9_184,icd10_C57,c57,malignant neoplasm of other and unspecified female genital organs,201238,Primary malignant neoplasm of female genital organ,SNOMED,Condition,S,
icd7_1751,icd8_1831,icd9_1832,icd10_C570,c57.0,malignant neoplasm of fallopian tube,201801,Primary malignant neoplasm of fallopian tube,SNOMED,Condition,S,
,,icd9_1833,icd10_C571,c57.1,malignant neoplasm of broad ligament,432264,Primary malignant neoplasm of broad ligament,SNOMED,Condition,S,
,,icd9_1835,icd10_C572,c57.2,malignant neoplasm of round ligament,441520,Primary malignant neoplasm of round ligament of uterus,SNOMED,Condition,S,
icd7_1767,,icd9_1834,icd10_C573,c57.3,malignant neoplasm of parametrium,196047,Primary malignant neoplasm of parametrium,SNOMED,Condition,S,
,,icd9_1839,icd10_C574,c57.4,malignant neoplasm of uterine adnexa, unspecified,200052,Primary malignant neoplasm of uterine adnexa,SNOMED,Condition,S,
,,icd9_1848,icd10_C577,c57.7,malignant neoplasm of other specified female genital organs,201238,Primary malignant neoplasm of female genital organ,SNOMED,Condition,S,
icd7_1758,,,icd10_C578,c57.8,malignant neoplasm of overlapping sites of female genital organs,196051,Overlapping malignant neoplasm of female genital organs,SNOMED,Condition,S,
icd7_1768,,,icd10_C578,c57.8,malignant neoplasm of overlapping sites of female genital organs,196051,Overlapping malignant neoplasm of female genital organs,SNOMED,Condition,S,
icd7_1759,icd8_1839,,icd10_C579,c57.9,malignant neoplasm of female genital organ, unspecified,201238,Primary malignant neoplasm of female genital organ,SNOMED,Condition,S,
icd7_1769,icd8_1849,icd9_1849,icd10_C579,c57.9,malignant neoplasm of female genital organ, unspecified,201238,Primary malignant neoplasm of female genital organ,SNOMED,Condition,S,
icd7_173,icd8_181,icd9_181,icd10_C58,c58,malignant neoplasm of placenta,4131761,Neoplasm of placenta,SNOMED,Condition,S,
icd7_1790,icd8_1870,,icd10_C60,c60,malignant neoplasm of penis,195483,Primary malignant neoplasm of penis,SNOMED,Condition,S,
,,icd9_1871,icd10_C600,c60.0,malignant neoplasm of prepuce,440339,Primary malignant neoplasm of prepuce,SNOMED,Condition,S,
,,icd9_1872,icd10_C601,c60.1,malignant neoplasm of glans penis,438370,Primary malignant neoplasm of glans penis,SNOMED,Condition,S,
,,icd9_1873,icd10_C602,c60.2,malignant neoplasm of body of penis,79749,Primary malignant neoplasm of body of penis,SNOMED,Condition,S,
,,,icd10_C608,c60.8,malignant neoplasm of overlapping sites of penis,4003027,Overlapping malignant neoplasm of penis,SNOMED,Condition,S,
,,icd9_1874,icd10_C609,c60.9,malignant neoplasm of penis, unspecified,195483,Primary malignant neoplasm of penis,SNOMED,Condition,S,
icd7_177,icd8_185,icd9_185,icd10_C61,c61,malignant neoplasm of prostate,200962,Primary malignant neoplasm of prostate,SNOMED,Condition,S,
icd7_178,icd8_186,icd9_186,icd10_C62,c62,malignant neoplasm of testis,433716,Primary malignant neoplasm of testis,SNOMED,Condition,S,
,,icd9_1860,icd10_C620,c62.0,malignant neoplasm of undescended testis,436054,Primary malignant neoplasm of undescended testis,SNOMED,Condition,S,
,,,icd10_C621,c62.1,malignant neoplasm of descended testis,4003028,Primary malignant neoplasm of descended testis,SNOMED,Condition,S,
,,icd9_1869,icd10_C629,c62.9,malignant neoplasm of testis, unspecified,433716,Primary malignant neoplasm of testis,SNOMED,Condition,S,
icd7_179,icd8_187,icd9_187,icd10_C63,c63,malignant neoplasm of other and unspecified male genital organs,197507,Primary malignant neoplasm of male genital organ,SNOMED,Condition,S,
,,icd9_1875,icd10_C630,c63.0,malignant neoplasm of epididymis,80340,Primary malignant neoplasm of epididymis,SNOMED,Condition,S,
,,icd9_1876,icd10_C631,c63.1,malignant neoplasm of spermatic cord,193719,Primary malignant neoplasm of spermatic cord,SNOMED,Condition,S,
,icd8_1725,,icd10_C632,c63.2,malignant neoplasm of scrotum,79758,Primary malignant neoplasm of scrotum,SNOMED,Condition,S,
icd7_1791,icd8_1735,icd9_1877,icd10_C632,c63.2,malignant neoplasm of scrotum,79758,Primary malignant neoplasm of scrotum,SNOMED,Condition,S,
,,icd9_1878,icd10_C637,c63.7,malignant neoplasm of other specified male genital organs,197507,Primary malignant neoplasm of male genital organ,SNOMED,Condition,S,
icd7_1797,,,icd10_C638,c63.8,malignant neoplasm of overlapping sites of male genital organs,196645,Overlapping malignant neoplasm of male genital organs,SNOMED,Condition,S,
icd7_1799,icd8_1879,icd9_1879,icd10_C639,c63.9,malignant neoplasm of male genital organ, unspecified,197507,Primary malignant neoplasm of male genital organ,SNOMED,Condition,S,
icd7_180,icd8_1890,icd9_1890,icd10_C64,c64,malignant neoplasm of kidney, except renal pelvis,198985,Primary malignant neoplasm of kidney,SNOMED,Condition,S,
,icd8_1891,icd9_1891,icd10_C65,c65,malignant neoplasm of renal pelvis,195480,Primary malignant neoplasm of renal pelvis,SNOMED,Condition,S,
,icd8_1892,icd9_1892,icd10_C66,c66,malignant neoplasm of ureter,200054,Primary malignant neoplasm of ureter,SNOMED,Condition,S,
icd7_181,icd8_188,icd9_188,icd10_C67,c67,malignant neoplasm of bladder,196360,Primary malignant neoplasm of bladder,SNOMED,Condition,S,
,,icd9_1880,icd10_C670,c67.0,malignant neoplasm of trigone of bladder,435484,Primary malignant neoplasm of trigone of urinary bladder,SNOMED,Condition,S,
,,icd9_1881,icd10_C671,c67.1,malignant neoplasm of dome of bladder,42709931,Primary malignant neoplasm of dome of urinary bladder,SNOMED,Condition,S,
,,icd9_1882,icd10_C672,c67.2,malignant neoplasm of lateral wall of bladder,73153,Malignant neoplasm of lateral wall of urinary bladder,SNOMED,Condition,S,
,,icd9_1883,icd10_C673,c67.3,malignant neoplasm of anterior wall of bladder,77812,Malignant neoplasm of anterior wall of urinary bladder,SNOMED,Condition,S,
,,icd9_1884,icd10_C674,c67.4,malignant neoplasm of posterior wall of bladder,40650479,Primary malignant neoplasm of posterior wall of urinary bladder,SNOMED,Condition,S,
,,icd9_1885,icd10_C675,c67.5,malignant neoplasm of bladder neck,436923,Primary malignant neoplasm of urinary bladder neck,SNOMED,Condition,S,
,,icd9_1886,icd10_C676,c67.6,malignant neoplasm of ureteric orifice,76924,Primary malignant neoplasm of ureteric orifice of urinary bladder,SNOMED,Condition,S,
,,icd9_1887,icd10_C677,c67.7,malignant neoplasm of urachus,201517,Primary malignant neoplasm of urachus,SNOMED,Condition,S,
